,key,count
1507,去世,6
704,流窜,6
24,废水,6
48,多家,6
4222,冲撞,6
574,隔离,6
3029,加油站,6
4288,翻车,6
3219,故意,6
1485,没想到,6
538,三天,6
2763,还敢,6
1202,工地,6
264,全国,6
2770,别人,6
678,因此,6
2913,失联,6
2814,水果,6
4408,女司机,6
3236,保险,6
1185,保护伞,6
672,行人,6
2962,担责,6
3167,无人,6
542,朋友圈,6
4369,侧翻,6
1494,派出所,6
591,兰州,6
1199,医疗,6
708,贩卖,6
2860,全部,6
3327,违法行为,6
3069,一次,6
3113,聚众斗殴,6
1195,恐吓,6
702,身份,6
1496,烟花爆竹,6
1217,客车,6
711,毒品,6
1197,手术,6
307,希望,5
2910,当众,5
3602,售假,5
3704,网传,5
2896,领域,5
4531,邢台,5
2121,股份,5
3703,关于,5
549,全家,5
4346,步行街,5
2919,昆明,5
565,大事,5
3687,民房,5
1638,十堰,5
2260,一定,5
430,一下,5
3733,餐厅,5
6602,副局长,5
272,途中,5
4345,触目惊心,5
23,高浓度,5
2936,侵犯,5
2246,亿元,5
2220,一案,5
22,偷排,5
5480,用户,5
642,痛心,5
3611,如何,5
4096,设施,5
1664,细节,5
1677,一幕,5
889,最新,5
2194,侵害,5
5307,当地,5
2240,车牌,5
892,作风,5
5367,破坏,5
638,系列,5
168,如此,5
2161,掀翻,5
1257,青岛,5
3211,群众,5
4358,关系,5
6656,雅好,5
5406,地铁,5
3670,特别,5
1080,轻生,5
2140,房地产,5
1701,回家,5
4348,吓坏,5
5476,论文,5
4077,丧生,5
3331,不让,5
2078,校园,5
6493,来电,5
7838,牟取暴利,5
1047,猥亵,5
398,公园,5
3844,借款,5
985,两个,5
1284,给钱,5
7940,赡养,5
1420,奎屯,5
993,法制,5
576,新浪网,5
1894,这次,5
1796,不幸,5
4045,疑因,5
6495,董事长,5
6202,韩国,5
4254,尸体,5
1854,路上,5
1849,长江,5
4041,行驶,5
1016,被告人,5
1831,浪费,5
3073,成为,5
4246,跳楼自杀,5
1825,坑骗,5
4228,飓风,5
580,骗走,5
1938,这里,5
4061,致两人,5
3772,多名,5
8791,情人节,5
1751,意大利,5
1293,榆林,5
4338,渣土,5
419,你们,5
2033,公然,5
2028,再次,5
2021,爸爸,5
4201,烧成,5
2014,阻碍,5
2968,监管,5
2009,张家口,5
2006,谎称,5
95,网站,5
3008,没商量,5
2972,房东,5
2978,警车,5
1987,农民工,5
3789,究竟,5
1972,毒打,5
3791,心酸,5
